Filename,Corpus,Collection,Author,Title,Translator,,10
en01.txt,English,Atlanta Noir,Tanarive Due,Snowbound,na,,
en02.txt,English,Atlanta Noir,Tayari Jones,Caramel,na,,
en03.txt,English,Baltimore Noir,Laura Lippman,Locust Point,na,,
en04.txt,English,Mississippi Noir,Ace Atkins,Combustible,na,,
en05.txt,English,Queens Noir,Victoria Eng,The Flower of Flushing,na,,
en06.txt,English,San Francisco Noir,Alejandro Murguía,The Other Barrio,na,,
en07.txt,English,Seattle Noir,Thomas P. Hopp,Blood Tide,na,,
en08.txt,English,New Yorker,Te-Ping Chen,Lulu,na,,
en09.txt,English,New Yorker,Colson Whitehead,The Match,na,,
en10.txt,English,New Yorker,Lore Segal,Dandelion,na,,
en11.txt,English,New Yorker,Sally Rooney,Color and Light,na,,
en12.txt,English,New Yorker,Yiyun Li,All Will Be Well,na,,
en13.txt,English,New Yorker,Jonathan Lethem,The Starlet Apartments,na,,
en14.txt,English,New Yorker,T. Coraghessan Boyle,Asleep at the Wheel,na,,
en15.txt,English,New Yorker,Emma Cline,What Can You Do With a General,na,,
en16.txt,English,New Yorker,Salvatore Scibona,Do Not Stop,na,,
en17.txt,English,New Yorker,Taymour Soomro,Philosophy of the Foot,na,,
en18.txt,English,Montana Noir,Debra Magpie Earling,Custer's Last Stand,na,,
en19.txt,English,San Francisco Noir,David Corbett,It Can Happen,na,,
en20.txt,English,San Francisco Noir,Sin Soraco,Double Espresso,na,,
it10.txt,Italian,Rome Noir,Carlo Lucarelli,Beret,Kathrine Jason,,
it11.txt,Italian,Venice Noir,Matteo Righetto,Cloudy Water,Judith Forshaw,,
it16.txt,Italian,?,Luigi Malerba,Consuming the View,Lesley Riva,,
it13.txt,Italian,Rome Noir,Antonio Scurati,Eternal Rome,Anne Milano Appel,,
it17.txt,Italian,Anthology of Contemporary Italian Fiction,Genvra Bompiani,"Great Bear, Little Bear",Brian Kern; Sergio Parussa,,
it14.txt,Italian,Anthology of Contemporary Italian Fiction,Pier Vittorio Tondelli,Leo's World,Simon Pleasance,,
it12.txt,Italian,Anthology of Contemporary Italian Fiction,Gianni Celati,Lost Road,Anthony Oldcorn,,
it04.txt,Italian,Rome Noir,Tommaso Pincio,The Melting Pot,Ann Goldstein,,
it01.txt,Italian,Anthology of Contemporary Italian Fiction,Antonio Tabucchi,Windswept Lane,Tim Parks,,
it07.txt,Italian,Anthology of Contemporary Italian Fiction,Paolo Valesio,The Day of Thanksgiving,Graziella Sidoli; Stefania Stewart,,
it15.txt,Italian,,Pier Maria Pasinetti,Melodrama,Michael Henry Heim,,
it05.txt,Italian,,Erri De Luca,Montedido,Michael Moore,,
it03.txt,Italian,,Anna Maria Ortese,On the Neverending Terrace,Liz Herron,,
it02.txt,Italian,,Daniele Del Giudice,Reaching Dew Point,Joseph Farrell,,
it09.txt,Italian,,Gesualdo Bufalino,The Keeper of Ruins,Patrick Creagh,,
it08.txt,Italian,,Fabrizia Ramondino ,The Piazza,Michael Sullivan,,
it06.txt,Italian,,Giorgio Manganelli,The Self-Awareness of the Labyrinth,Henry Martin,,
it18.txt,Italian,Modern Italian short stories,Carlo Levi,the massacre of vallucciole,Ben Johnson,,
it19.txt,Italian,Modern Italian short stories,Indro Montanelli,His excellency,Uguccione Ranieri,,
